Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppHost\AppHost.csproj,File,AppHost\AppHost.csproj,,,Aspire.Hosting.AppHost 13.0.2,,,,,"Aspire.Hosting.AppHost, 13.0.2  Recommendation:  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.1.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AppHost\AppHost.csproj,File,AppHost\AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\FinanceManager.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.10,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.10  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\FinanceManager.Api.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.10,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.10  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\FinanceManager.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\Services\JwtTokenGenerator.cs,37,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,var accessToken = tokenHandler.WriteToken(securityToken);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\Services\JwtTokenGenerator.cs,36,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.CreateToken(Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor),,,,,var securityToken = tokenHandler.CreateToken(tokenDescriptor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\Services\JwtTokenGenerator.cs,35,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,JwtSecurityTokenHandler tokenHandler = new();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\Services\JwtTokenGenerator.cs,35,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,JwtSecurityTokenHandler tokenHandler = new();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FinanceManager.Api\FinanceManager.Api.csproj,File,FinanceManager.Api\Services\JwtTokenGenerator.cs,18,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var tokenDescriptor = new SecurityTokenDescriptor()          {                Subject = new(              [                  new(JwtRegisteredClaimNames.Name, userName),                  new(ClaimTypes.NameIdentifier, userId.ToString()),                  new(ClaimTypes.Role, userRole.ToString()),              ]),                Expires = tokenExpiryTimeStamp,              Issuer = jwtOptions.Value.Issuer,              Audience = jwtOptions.Value.Audience,              SigningCredentials = new(new SymmetricSecurityKey(Encoding.UTF8.GetBytes(jwtOptions.Value.Key)),              SecurityAlgorithms.HmacSha512Signature),          };"
